scheduler,source_policy_label,normal_queue_depth_mean,medium_queue_depth_mean,high_queue_depth_mean,queue_depth_high_minus_normal,queue_depth_normal_to_medium_slope,queue_depth_medium_to_high_slope,value_weighted_normal_mean,value_weighted_medium_mean,value_weighted_high_mean,value_weighted_high_minus_normal,value_weighted_normal_to_medium_slope,value_weighted_medium_to_high_slope,value_per_completed_task_high_minus_normal,value_per_work_event_high_minus_normal,queued_task_age_final_high_minus_normal,capture_pressure_final_high_minus_normal,turning_points_high_minus_normal,longest_dwell_steps_high_minus_normal
quota_balance,baseline,21.333333,44.666667,62.666667,41.333334,29.166667,45.0,55.333333,48.333333,35,-20.333333,-8.75,-33.333332,0.223848,-0.209362,1.30845,-0.198887,-4.0,2.666667
random_available,research_heavy,24,52.333333,65.333333,41.333333,35.416666,32.5,46.333333,45.666667,26.666667,-19.666666,-0.833333,-47.5,-0.059508,-0.244285,0.899482,-0.019568,-3.0,2.333334
